ireland_abortion;;;;;;;
;title;date;member_gender;member_name;party_name;speech;speechID
128;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;We have spent some time in this Dáil session debating the question of Dáil reform. This was a debate which drew interest from all sides of the House. In those circumstances, one cannot but be saddened that, in a debate on this issue which we have been told is a matter of such fundamental importance, and has so enthused the Opposition, that not a single member of the party now in opposition can find time to come into the House to consider such an issue.;2057760
129;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. Proinsias De Rossa;Sinn Féin the Workers' Party;On a point of order, there is one member of the Opposition present.;2057761
130;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I stand corrected. In the past they have had a somewhat ambivalent position in this House and it is hard to get used to their current role. I should have said no member of the Fianna Fáil Party is present. It is worth beginning by asking ourselves what we expect of our written Constitution. It seems to me that we adopted a written Constitution, like many newly-independent states, to assert what we saw as different and to assert in a very public way from where the State derived its authority to legislate and what was the source of the authority in the State. That was one function. The other function we saw served by our written Constitution was that contained therein would be a number of legal precepts which we felt were entitled to a higher status than ordinary law and which were, to that extent, more difficult to change or to ignore. Therefore, our Constitution [595] lists a number of rights: the right to life, the right to personal property, the right to freedom of speech, the right not to be arrested and so forth. It has never been suggested that it is inappropriate that such a written Constitution should consider those issues. It would seem to me to be a logical consequence of that, that if it is appropriate that those rights should be enumerated in the Constitution, it is equally right that the Constitution should address itself to what categories of beings are entitled to derive rights under the Constitution. At the moment the Constitution refers throughout to the rights of the citizens. To take one example Article 40. 4, 1º provides: No citizen shall be deprived of his personal liberty save in accordance with the law. It seems to me to be appropriate that a written Constitution should spell out exactly what categories of beings — and I use as neutral a word as I can—are entitled to benefit under the Constitution. Should rights be confined to citizens? What is the position of aliens? Are rights to be confined to those who have been actually born, or what is the position of the unborn? What is the position of a limited liability company? These are all areas appropriate to the Constitution. At the moment the Constitution is drafted in the most restricted form possible in that it purports to confine rights to citizens. In doing so, it does not accord with the European Convention on Human Rights which is drafted in wider terms to speak of all persons. That is not an academic point. In at least two instances the Supreme Court considered the question of whether or not the wording of the Constitution excludes from constitutional protection non-citizens — in one instance at the suit of an alien in a case arising under the Adoption Acts, and in another instance they considered what constitutional protection it afforded to limited companies when the controversial Marts Bill was contested. I believe our Constitution ought to be wider than simply affording rights to citizens. [596] In those circumstances it is appropriate that at the correct time the Constitution should be broadened to afford protection to all who live in this country, citizens and aliens, and to all who are at risk, born and unborn. I say that because the argument has been made that the suggestion of affording constitutional protection to the unborn is inappropriate. Two arguments are advanced for this, basically. One is the suggestion that it is inherently sectarian. With respect to the proponents of that argument, it seems to me to lack logic. If it is regarded as appropriate that legislation should cover these areas, and it is—nobody has suggested that the 1861 Act should be repealed, and even in those countries with very liberal abortion laws, in all cases abortion is subject to some form of statutory control—I do not see how the case can be made that it is inherently improper for such an issue to be dealt with in the Constitution. The other suggestion is that somehow or other this is an area of particular controversy on which there might be differences of opinion and, for that reason, it is inappropriate to find a place for it in the Constitution. Again, with respect, I fail to see the point. If the Constitution is to confine itself to simply setting out the subjects on which we are all agreed, and on which unanimity exists, and on which there is a total consensus, we might as well save ourselves some money by telling the Stationery Office to cease printing it. If that degree of unanimity and consensus exists, there is no point in having a written Constitution. As the Minister for Justice pointed out in moving the Second Reading of this Bill, in a number of areas in which there is something substantially less than unanimity — such as the case of private property or trade union law — the Constitution does not opt out, does not remain silent, but expresses a clear opinion. It is my belief that if an entirely new Constitution were being drafted tomorrow morning, the draftsman inevitably would have to consider to what categories were rights to be afforded. He would be obliged to do so by the decisions in relation [597] to aliens and limited companies. He would be obliged by the public debate on this issue to consider, as the drafter of the 1937 Constitution was not obliged to do, the position of the unborn. I have to say it is my view that it is in such a context that our Constitution should be extended. From the outset I have stated that I do not regard the Constitution as presently drafted as appropriate. I do not think there is any justification for seeking to confine rights to citizens, and I would wish to see the protection afforded by the Constitution extended. That would be most appropriately done in the context of an overall review of the Constitution. That, as Members of the House are aware, was what was regarded as the optimum position by my party. We also recognised that, if a wording was to emerge, we could not 'dog in the manger' it, to use Deputy Ahern's expression and refuse to look at the wording simply because it had come at a time other than that we regarded as ideal. We indicated what we expected from that wording and we expressed the hope that it would be a positive, pro-life declaration. I have stated publicly that I would have wished, if there was to be a pro-life amendment, that the opportunity would have been taken to abolish the death penalty at the same time and with the same wording, and we accepted too that the constitutional amendment to be proposed would be sensitive to the areas of medical difficulties and to the concerns of the minority Churches. When the wording was published, it did appear that the Fianna Fáil Government had responded to these points and certainly the wording, as produced, avoided the most obvious pitfalls. We now know better. I say that not because I invite the Deputies opposite to accept as authoritative the views of the Attorney General, not even because I ask them to accept as authoritative the views of the Director of Public Prosecutions, but for this reason. Why were we asked to amend our Constitution? We were asked to do so because a group of distinguished and eminent citizens, many of them prominent in the legal and medical worlds, approached the political parties and said [598] they were unhappy because the Constitution is not specific and does not anywhere specifically assert the right to life of the unborn. They said there was no specific guarantee that the laws against abortion would not be found unconstitutional. At that time they graciously conceded it was highly improbable that the Supreme Court would strike down the laws against abortion but they said it was an area of unique sensitivity and importance and, in those circumstances, that they were entitled to seek certainty. That was a view that won ready acceptance from the public and this House. The situation we have now arrived at is that the wording at present available cannot provide that certainty and cannot achieve the first objective we were asked to deliver on, which was to remove this as a possible area of controversy from the judicial field by putting the matter beyond doubt. It may be that those who originally drafted the wording that now forms part of the Bill will say they are satisfied that the views of the Attorney General are incorrect. They may say they do not agree with the Director of Public Prosecutions and, in time, they might even be proved to be right. However, for them to be proved right would require exactly what we have all be asked to avoid, which is a series of test cases in the Supreme Court as people try to define and examine where the fringes of our laws are to be found. It is important to say that to establish that the present wording is unsatisfactory it is not necessary to persuade any Member of this House that, as a matter of probability, the Attorney General, Mr. Sutherland, is correct. All that is required is to say he might be correct because, if he might be correct, then we are into an area of uncertainty and doubt and we are opening up the way for judicial examination, which was precisely what we were asked to avoid. I will shortly be putting the views of the Attorney General on record and considering them in some detail but, before doing that, something must be said about the way in which the Supreme Court has been referred to throughout this debate. If there is one attitude that seems to unite [599] some of the more extreme supporters of the pro-life cause and the most extreme supporters of the anti-amendment cause, it is a lack of respect for the Supreme Court and an apparent consensus that the Supreme Court lacks even the most basic common sense. On the one hand some of the supporters of the pro-life cause suggest that the Supreme Court would be likely, if invited to do so, to strike down our present 1861 Act and, by doing so, make abortion freely available. I regard that as improbable in the extreme. Deputy John Kelly, a noted constitutional lawyer, has already addressed himself to this point in the debate and I do not want to go over the same ground at any length except to say that on those occasions when the Supreme Court or indeed judges of the High Court have addressed themselves to this issue, far from giving any hint whatever that they proposed at an appropriate moment to strike down the 1861 Act, their observations indicate that, given a chance, they would declare that the unborn does in fact enjoy constitutional rights. Deputy Kelly has already referred to observations in two cases by Mr. Justice Walsh in this regard and Mr. Justice McWilliam in the High Court, who is, interestingly, a member of the minority faith, has made an exactly similar statement. The anti-amendment group, on the other hand, seem to believe that if the Supreme Court is given a chance that, abandoning all common sense, they would accept an interpretation which would put mothers' lives at risk even though another interpretation might be open to them or, alternatively or in addition, they would adopt an interpretation which would legalise abortion up to a very late stage in pregnancy or that they would outlaw many of the contraceptive practices now available here, contraceptive practices which are available to people here precisely because of the action of the Supreme Court. I dislike intensely the manner in which people on both sides of this case have treated the Supreme Court with scant respect. I want to look now at the wording and, in doing so, to say again what our brief [600] was. Our brief was to put this area beyond doubt. Nobody suggested for one moment that the 1861 Offences Against the Person Act was unsatisfactory. As far as I am aware, not even the most enthusiastic members of SPUC have suggested that any changes in that legislation are required. On the reverse side of the coin, apart from a tiny minority of people in the Women's Right to Choose group, nobody has suggested that our law should be changed to provide for abortion. Our instructions, therefore, as a Legislature and our commitment to the pro-life group was to find a wording which would put the status quo beyond challenge and remove the area from the scope of judicial controversy. How does the present wording measure up? At this stage I think it would be appropriate to put on the record of the House the observations of the Attorney General which have appeared in summary in the newspapers. He stated: In summary: the wording is ambiguous and unsatisfactory. It will lead inevitably to confusion and uncertainty, not merely amongst the medical profession, to whom it has of course particular relevance, but also amongst lawyers, and more specifically the judges who will have to interpret it. Far from providing the protection and certainty which is sought by many of those who have advocated its adoption it will have a contrary effect. In particular it is not clear as to what life is being protected as to whether 'the unborn' is protected from the moment of fertilisation, or alternatively is left unprotected until an independently viable human being exists at 25 to 28 weeks. Further, having regard to the equal rights of the unborn and the mother, a doctor faced with the dilemma of saving the life of the mother, knowing that to do so will terminate the life of 'the unborn' will be compelled by the wording to conclude that he can do nothing. Whatever his intention, he will have to show equal regard for both lives and his predominant intent will not be a factor. In these circumstances I cannot approve of the wording proposed.;2057762
131;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;Will the Minister give the reference?;2057763
132;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I am quoting from extracts from the opinion of the Attorney General, furnished to the Government which appeared in yesterday's papers.;2057764
133;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;Is the Minister quoting from the extract or from the newspapers?;2057765
134;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I am quoting from the extract as it appeared in the papers.;2057766
135;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;Will the Minister make that available to the House?;2057767
136;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I am quoting from the extracts which appeared in the newspapers. It was the statement that issued to the newspapers.;2057768
137;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;Will the document be available to the House?;2057769
138;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I am quoting from the extracts which appeared in the newspapers. It was the statement that issued to the newspapers.;2057770
139;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;Will the document be available to the House?;2057771
140;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;The document from which I am quoting has already been made available to every Member of the House and to every newspaper in the country.;2057772
141;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;Is the Minister suggesting that the total document is available?;2057773
142;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I am suggesting that the document from which I am quoting is available. In doing so I welcome the arrival in the House of Deputy Woods and the fact that Fianna Fáil are now going to take some interest in the debate at this late stage of the afternoon.;2057774
143;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Dr. Michael J. Woods;Fianna Fáil;I would point out that I have been in the House all day. I had to go out for a few moments. I also accept that Fine Gael must be talking to themselves at this stage.;2057775
144;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I will continue with the quotation which appeared in all of the newspapers yesterday. The Attorney General considered the significance of the word ‘unborn’. He said: [602] The use of the word 'unborn' in the proposed Amendment is significant because it has not to my knowledge been used before in a similar context, that is, as a noun standing on its own. The word is usually taken in association with 'child', 'person' or 'human being'. The word, used as a noun, is not in fact defined in any of the standard English dictionaries. The reason why it is used in the proposal, without any supporting noun, deserves detailed consideration as this is the word which defines the class to be afforded protection. The Irish text of the proposed amendment, which must prevail in cases of conflict and which corresponds to 'the unborn' in the English can be translated as 'the unborn living' or 'the living unborn'. In the event that the Supreme Court is called upon to construe the proposal, it could come to a number of different conclusions as to the definition of the class which is afforded protection. Undoubtedly a view which might commend itself to the court is that all human beings fall within the ambit of the amendment and that a human being comes into existence when the process of fertilisation is complete. It is, I believe, the position of many in the community that the inalienable right to life attaches to the newly fertilised ovum prior to implantation. The consequences of such a definition of the commencement of human life are matters on which medical opinion would be required. If, as would appear to be the case, it is correct to state that certain contraceptives can operate after fertilisation, then these would be abortifacient if human life commences on conception. Thus the importation, dissemination and use of such contraceptives would be prohibited and as an example, the use of the 'morning-after' pill in the treatment of rape victims will not be permissible nor will the use of such contraceptives in certain conditions of the health of a woman — for example, valvular heart disease and diabetes. As I stated earlier, there are however [603] other conclusions that the Supreme Court might reach in defining what is meant by 'unborn'. It might simply conclude that the question cannot be answered definitively. In considering the rights, if any, attaching to life before birth in the United States the Supreme Court there determined that to attempt to reach a conclusion on the issue would be to speculate because 'those trained in the respective disciplines of medicine, philosophy and theology are unable to arrive at any consensus'. Other conclusions might be that human life commences at the moment of implantation of fertilised ovum or when brain activity commences. Before proceeding with the quotation I will pause to say that as I understood the speech of the Opposition spokesman he made the point that the wording was drafted in the form now before us to try to avoid getting into that area of finesse and it was felt appropriate that the amendment should not come out in favour of any one of those possible beginnings of life. I am open to correction on this. If that is a fair summary then I understand precisely what was in mind but it seems to me to be the precise opposite of what we were asked to do. If that is what the amendment is trying to do, then effectively we are saying that we should put a form of wording into the Constitution and leave it there and any difficulties that arise in interpretation are a matter for the courts at a later stage. It is precisely to prevent the courts being involved at a later stage in determining issues such as when life begins or at what stage protection is afforded that we were asked to draft the amendment. For that reason the amendment, as drafted, fails to measure to the brief we were set. I will continue with the quotation: However, the point of time for which the most compelling legal argument could be made, other than the time of fertilisation, as being the moment of commencement of protection, could be said to be the time when the foetus becomes independently viable. I [604] understand that this is probably at some time between 25 and 28 weeks of pregnancy. Such a construction could be supported by an argument that 'unborn' could be regarded as being applicable only to something capable of being born. The word 'unborn' used as a noun must, as a matter of language, mean 'unborn person', 'unborn child' or 'unborn human being'. It could be argued that neither a fertilised ovum, a fertilised and implanted ovum, an embryo or even a foetus prior to the time when it is independently viable, would come within this definition. The consequences of such a finding could be that there would be no constitutional prohibition on abortion prior to this stage of pregnancy. That is a view that is being put forward. I have no doubt that there are eminent lawyers who would say that that is not the correct view, that it is not what the Supreme Court would decide were they invited to interpret the wording. For precisely the same reason I do not believe they would strike down the 1861 Act. The Supreme Court as constituted at present would interpret the amendment in that matter as a matter of probability. The advocates of the amendment, certainly the Association of Lawyers for the Protection of the Unborn with whom I have been associated from time to time, have readily accepted that they do not expect the Supreme Court as constituted at present to do anything of the sort in relation to the 1861 Act. They are concerned to guard against future developments. Deputies who were in the House when Deputy Kelly was speaking will be told that he gave substance to this argument when he referred to the change of public opinion in relation to contraception and what effect that has had or would have had on anyone who would have come to the courts to challenge the Criminal Law Amendment Act.;2057776
145;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. Oliver J. Flanagan;Monetary Reform;The Minister will agree that no matter what case he has made for contraception he does not make it right. Does he agree with that?;2057777
146;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;The Minister does not agree with that.;2057778
147;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. Oliver J. Flanagan;Monetary Reform;Therefore does the Minister agree with contraception?;2057779
148;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I do.;2057780
149;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. Oliver J. Flanagan;Monetary Reform;He does? I suppose it is helpful to have that on record.;2057781
150;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;17.02.83;M;Mr. George Birmingham;Fine Gael;I support the constitutional right as defined by the Supreme Court for married couples to plan their families. Be that as it may, Deputy Kelly made the point that had Mrs. McGee come to the Supreme Court in the fifties and attempted to assert that there was a constitutional right to use contraceptives, it was unlikely, Deputy Kelly said, that she would have got a solicitor or counsel to appear for her. In the sixties it would have been very much odds against and by the seventies she won her case decisively. Because the possibility exists that legal opinion may change over the years an amendment to the Constitution to prevent abortion is appropriate. I have no doubt that the Supreme Court if asked tomorrow what their views on abortion are would say emphatically that abortion is not part of our legal code. I have very little doubt that they would say that anyone attempting to bring in a law providing for abortion would himself be acting unconstitutionally. I have no doubt that that is what a Supreme Court presided over by Chief Justice O'Higgins would do. Because I am not a prophet I do not know what Supreme Court judges asked to preside over the same question in 50 years time would decide. Similarly, I think I can guess what the Supreme Court presided over by Chief Justice O'Higgins would decide if asked to interpret the meaning of the word 'unborn'. At the very least I think I know what they would not decide. I do not believe that the Supreme Court as constituted at present would interpret the word 'unborn' so as to provide for abortion up to 25 weeks or 28 weeks, but I do not know what they might do in 50 years time. If there is a fear — this has motivated the case for an amendment [606]— that at some distant stage in the future the Supreme Court, no doubt reflecting changes in public opinion, might interpret the silence of the Constitution as drafted at present so as to provide for abortion, is it not equally logical that a Supreme Court which might be so tempted would be equally inclined to seize on any ambiguity in an amendment that we would put in so as to achieve the same result? If those who advocate the amendment argue, as they have argued with cogent and even coercive logic, that we cannot foretell what a Supreme Court would do in 50 years time, it behoves us equally to make sure that what we put into the Constitution is not itself ambiguous. When we consider what is ambiguous or what might have to be condemned as ambiguous, we must consider it not just in the context of what decision a court would be likely to take today but at some distant stage in the future. If we were concerned only with what a court would do today there would be no need for an amendment at all. The Supreme Court as constituted at present would not — I say with great confidence — introduce abortion into our legal system and as an unenumerated right. I will proceed with the next point raised by the Attorney General. The next issue raised by the proposed amendment is the meaning and effect of the words 'with due regard to the equal right to life of the mother'. The meaning of 'with due regard to' is entirely unclear. These words are generally perceived to allow for, at least, termination of the life of the foetus in the cases of ectopic pregnancies or cancer of the uterus. The words 'with due regard to' have been understood by many to suggest that the right to life enjoyed by the unborn was to be confined in some way. That interpretation is in my opinion incorrect. The words 'comh cheart' in the Irish text is literally 'the same right'. The right to life of both the unborn and the mother is stated in the proposed text to be equal and in these circumstances I cannot see how it could be possible knowingly to terminate the existence of the unborn even if such termination was the secondary effect of an operation for another purpose. The issue [607] of intention does not arise in the proposed amendment and thus, it seems to me, that even if termination of the pregnancy is an incidental consequence of an operation to save the life of the mother it would be prohibited. The correct logical interpretation is that the right to life for the unborn is absolute. If a doctor were to be faced with the choice as to saving the life of one and thereby terminating the life of the other, then I believe that the only lawful conclusion to this dilemma would be that he could do absolutely nothing which infringed on either right. It is only where there is no possibility of the foetus surviving even without the doctor's intervention that no difficulty will arise. Whatever about such a clear-cut factual situation, the difficulty of applying the position to other circumstances will be considerable. There may be cases where a doctor will have to consider whether he can treat a prospective mother for an illness which might otherwise shorten her life expectancy if this treatment will threaten the life of the foetus. The proposed amendment will in my view tend to confuse a doctor as to his responsibilities rather than assist him and the consequences may well be to inhibit him in making decisions as to whether treatment should be given in a particular case. In conclusion, the consideration of the [608] points which I have raised is of particular importance having regard to the difference in principle between an ordinary legislative provision and the statement in the Constitution. Whilst a view may be formed as to the likely interpretation of a given constitutional provision at a particular time, such an interpretation is open to review in the future. One is considering in this instance a provision which is intended to stand up to the test of time. This type of constitutional provision by its nature is a statement of broad general principle. The fact that the interpretation of such provision is often a complicated and difficult task is evident from the very many reported judgments on the Constitution which have been delivered by the Supreme Court. I draw attention to the ambiguities in the proposed draft because to do otherwise might suggest that the words are susceptible to only one interpretation. It is further to be borne in mind that this constitutional provision, whilst a statement of general principle, will be susceptible to enforcement in various ways through the civil and criminal law. Uncertainty as to its meaning and effect could have the most serious consequences. Debate adjourned. The Dáil adjourned at 5 p. m. until 2. 30 p. m. on Tuesday, 22 February 1983.;2057782
151;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: An Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;23.02.83;M;Mr. Thomas J. (Cavan) Fitzpatrick;Fine Gael;Will the Deputy give the reference, an identifiable one?;2058985
152;An Bille um an Ocht&uacute Leas&uacute ar an mBunreacht, 1982: An Dara C&eacute im (At&oacute g&aacute il). Eighth Amendment of the Constitution Bill, 1982: Second Stage (Resumed).;23.02.83;M;Mr. Pádraig Flynn;Fianna Fáil;I have referred to a document produced by the Anti-Amendment Campaign. I will be referring to the matter later. It does not give an address. It has a PO box number, 1285, Dublin 7, and a telephone number. As far as I am concerned, confusion is one of the main strategies, the main aim of the abortion lobby. It could be achieved in various ways. You would have those against the amendment, one way or another those who would be against the wording those who would prefer various types of wording those who would be against abortion but against the amendment, for their own reasons. You could have a whole range of small sectional groups who would be against this for many little reasons of their own. But it is hoped by that abortion lobby that in the confusion the Government might be tempted to abandon the amendment altogether. That abandonment would mean the [979] life achievement of the abortionists and it would not please anybody except themselves. I believe the amendment of the Constitution is not just desirable but essential, because the Constitution does not contain any specific protection for the unborn child. When I say that, I am aware that the amendment will not change the present legal position in regard to abortion. That is not at issue. However, it will do something: it will reinforce the existing law as we know it and it will guarantee that any future decision regarding abortion or the legalising of abortion, or any related matter, will have to be done by a further referendum, the surest guarantee the electorate will have that the majority opinion, which abhors abortion, will be protected. The electorate are entitled to have control of the fundamental policies attached to their rights in this land. Those rights are enshrined in the Constitution and it is important for the electorate that they can recognise them and have them on display. We do not want a situation ever to arise when, because of political gatherings, or groups or interests, or difficulties that might be attached to a particular Government at a particular time because of voting strength, that legislation could be promoted here to give effect to something that the vast majority of the people do not want, namely, to legalise abortion in some shape or form. What a magnificent document the Constitution is. It is a fundamental document that has stood the test of time. Just as it is fundamental as a document it sets out our fundamental rights. I am suggesting that a weakness has been found and it has become mandatory on us, if we have the respect for that document as the protector of our fundamental rights that we should have, to take the necessary steps to bring about a situation that will put that weakness right, that will continue to afford the protection that the vast majority of the people wish to enjoy. The insertion of this amendment in the Constitution will mean simply that abortion cannot and will not be made legal either through legislation or judicial [980] decision. Abortion is prohibited under the 1861 Protection against the Person Act. We might as well face up to it that that piece of legislation could be changed by the Oireachtas any time it likes. It is simply a matter of getting enough marching feet through the lobby. For any reason, through pressure that might be put on a Government not totally in control of their destiny, the marching feet might very well be found to traipse through the lobby to change the legislation. What protection then would the vast majority of our people have against something they abhor, namely abortion? Whatever safeguard there might be because there are people here who would stand their ground no matter what the pressure put on them — there are people here who would prefer to march out the gate rather than have to carry the load if this legislation were changed — there would be no protection at all if the thing could be changed by the courts. It might possibly be changed by the courts in the event of a challenge to the constitutionality of the 1861 Act. Debate adjourned.;2058986
